Sales,Date,Region
1614.00,17-03-2018,south
1710.00,17-03-2018,east
1662.00,17-03-2018,west
1650.00,18-03-2018,north
1755.00,18-03-2018,south
1698.00,18-03-2018,east
1659.00,18-03-2018,west
1683.00,19-03-2018,north
1509.00,19-03-2018,south
1500.00,19-03-2018,east
1545.00,19-03-2018,west
1647.00,20-03-2018,north
1614.00,20-03-2018,south
1629.00,20-03-2018,east
1677.00,20-03-2018,west
1743.00,21-03-2018,north
1569.00,21-03-2018,south
1593.00,21-03-2018,east
1578.00,21-03-2018,west
1578.00,22-03-2018,north
1581.00,22-03-2018,south
1653.00,22-03-2018,east
1578.00,22-03-2018,west
1761.00,23-03-2018,north
1611.00,23-03-2018,south
1749.00,23-03-2018,east
1764.00,23-03-2018,west
1716.00,24-03-2018,north
1710.00,24-03-2018,south
1800.00,24-03-2018,east
1728.00,24-03-2018,west
1743.00,25-03-2018,north
1764.00,25-03-2018,south
1740.00,25-03-2018,east
1707.00,25-03-2018,west
1509.00,26-03-2018,north
1641.00,26-03-2018,south
1533.00,26-03-2018,east
1752.00,26-03-2018,west
1767.00,27-03-2018,north
1590.00,27-03-2018,south
1533.00,27-03-2018,east
1704.00,27-03-2018,west
1671.00,28-03-2018,north
1527.00,28-03-2018,south
1524.00,28-03-2018,east
1629.00,28-03-2018,west
1722.00,29-03-2018,north
1557.00,29-03-2018,south
1686.00,29-03-2018,east
1779.00,29-03-2018,west
1734.00,30-03-2018,north
1776.00,30-03-2018,south
1554.00,30-03-2018,east
1725.00,30-03-2018,west
1617.00,31-03-2018,north
1635.00,31-03-2018,south
1605.00,31-03-2018,east
1785.00,31-03-2018,west
1761.00,01-04-2018,north
1530.00,01-04-2018,south
1710.00,01-04-2018,east
1506.00,01-04-2018,west
1509.00,02-04-2018,north
1797.00,02-04-2018,south
1662.00,02-04-2018,east
1530.00,02-04-2018,west
1767.00,03-04-2018,north
1767.00,03-04-2018,south
1614.00,03-04-2018,east
1533.00,03-04-2018,west
1767.00,04-04-2018,north
1761.00,04-04-2018,south
1566.00,04-04-2018,east
1623.00,04-04-2018,west
1506.00,05-04-2018,north
1512.00,05-04-2018,south
1692.00,05-04-2018,east
1749.00,05-04-2018,west
1701.00,06-04-2018,north
1752.00,06-04-2018,south
1632.00,06-04-2018,east
1515.00,06-04-2018,west
1725.00,07-04-2018,north
1611.00,07-04-2018,south
1788.00,07-04-2018,east
1617.00,07-04-2018,west
1656.00,08-04-2018,north
1674.00,08-04-2018,south
1557.00,08-04-2018,east
1701.00,08-04-2018,west
1686.00,09-04-2018,north
1782.00,09-04-2018,south
1641.00,09-04-2018,east
1557.00,09-04-2018,west
1686.00,10-04-2018,north
1527.00,10-04-2018,south
1698.00,10-04-2018,east
1728.00,10-04-2018,west
1671.00,11-04-2018,north
1527.00,11-04-2018,south
1581.00,11-04-2018,east
1764.00,11-04-2018,west
1653.00,12-04-2018,north
1626.00,12-04-2018,south
1782.00,12-04-2018,east
1749.00,12-04-2018,west
1539.00,13-04-2018,north
1752.00,13-04-2018,south
1674.00,13-04-2018,east
1749.00,13-04-2018,west
1569.00,14-04-2018,north
1794.00,14-04-2018,south
1674.00,14-04-2018,east
1638.00,14-04-2018,west
1515.00,15-04-2018,north
1527.00,15-04-2018,south
1602.00,15-04-2018,east
1653.00,15-04-2018,west
1602.00,16-04-2018,north
1707.00,16-04-2018,south
1548.00,16-04-2018,east
1527.00,16-04-2018,west
1599.00,17-04-2018,north
1728.00,17-04-2018,south
1704.00,17-04-2018,east
1539.00,17-04-2018,west
1545.00,18-04-2018,north
1797.00,18-04-2018,south
1515.00,18-04-2018,east
1719.00,18-04-2018,west
1713.00,19-04-2018,north
1674.00,19-04-2018,south
1767.00,19-04-2018,east
1767.00,19-04-2018,west
1668.00,20-04-2018,north
1620.00,20-04-2018,south
1677.00,20-04-2018,east
1509.00,20-04-2018,west
1683.00,21-04-2018,north
1743.00,21-04-2018,south
1644.00,21-04-2018,east
1578.00,21-04-2018,west
1572.00,22-04-2018,north
1545.00,22-04-2018,south
1557.00,22-04-2018,east
1626.00,22-04-2018,west
1710.00,23-04-2018,north
1659.00,23-04-2018,south
1665.00,23-04-2018,east
1521.00,23-04-2018,west
1503.00,24-04-2018,north
1650.00,24-04-2018,south
1689.00,24-04-2018,east
1743.00,24-04-2018,west
1623.00,25-04-2018,north
1503.00,25-04-2018,south
1758.00,25-04-2018,east
1557.00,25-04-2018,west
1713.00,26-04-2018,north
1734.00,26-04-2018,south
1740.00,26-04-2018,east
1563.00,26-04-2018,west
1716.00,27-04-2018,north
1791.00,27-04-2018,south
1674.00,27-04-2018,east
1716.00,27-04-2018,west
1632.00,28-04-2018,north
1641.00,28-04-2018,south
1584.00,28-04-2018,east
1590.00,28-04-2018,west
1713.00,29-04-2018,north
1593.00,29-04-2018,south
1740.00,29-04-2018,east
1638.00,29-04-2018,west
1653.00,30-04-2018,north
1590.00,30-04-2018,south
1593.00,30-04-2018,east
1602.00,30-04-2018,west
1785.00,01-05-2018,north
1764.00,01-05-2018,south
1506.00,01-05-2018,east
1536.00,01-05-2018,west
1623.00,02-05-2018,north
1674.00,02-05-2018,south
1791.00,02-05-2018,east
1653.00,02-05-2018,west
1785.00,03-05-2018,north
1569.00,03-05-2018,south
1500.00,03-05-2018,east
1770.00,03-05-2018,west
1653.00,04-05-2018,north
1590.00,04-05-2018,south
1671.00,04-05-2018,east
1629.00,04-05-2018,west
1578.00,05-05-2018,north
1665.00,05-05-2018,south
1575.00,05-05-2018,east
1587.00,05-05-2018,west
1674.00,06-05-2018,north
1785.00,06-05-2018,south
1719.00,06-05-2018,east
1617.00,06-05-2018,west
1794.00,07-05-2018,north
1563.00,07-05-2018,south
1728.00,07-05-2018,east
1740.00,07-05-2018,west
1617.00,08-05-2018,north
1650.00,08-05-2018,south
1728.00,08-05-2018,east
1635.00,08-05-2018,west
1584.00,09-05-2018,north
1647.00,09-05-2018,south
1551.00,09-05-2018,east
1512.00,09-05-2018,west
1737.00,10-05-2018,north
1551.00,10-05-2018,south
1515.00,10-05-2018,east
1716.00,10-05-2018,west
1746.00,11-05-2018,north
1677.00,11-05-2018,south
1584.00,11-05-2018,east
1617.00,11-05-2018,west
1743.00,12-05-2018,north
1533.00,12-05-2018,south
1521.00,12-05-2018,east
1578.00,12-05-2018,west
1545.00,13-05-2018,north
1713.00,13-05-2018,south
1665.00,13-05-2018,east
1644.00,13-05-2018,west
1776.00,14-05-2018,north
1560.00,14-05-2018,south
1644.00,14-05-2018,east
1503.00,14-05-2018,west
1800.00,15-05-2018,north
1758.00,15-05-2018,south
1701.00,15-05-2018,east
1671.00,15-05-2018,west
1593.00,16-05-2018,north
1617.00,16-05-2018,south
1626.00,16-05-2018,east
1629.00,16-05-2018,west
1728.00,17-05-2018,north
1506.00,17-05-2018,south
1590.00,17-05-2018,east
1626.00,17-05-2018,west
1782.00,18-05-2018,north
1572.00,18-05-2018,south
1539.00,18-05-2018,east
1509.00,18-05-2018,west
1788.00,19-05-2018,north
1713.00,19-05-2018,south
1626.00,19-05-2018,east
1629.00,19-05-2018,west
1548.00,20-05-2018,north
1716.00,20-05-2018,south
1752.00,20-05-2018,east
1638.00,20-05-2018,west
1575.00,21-05-2018,north
1671.00,21-05-2018,south
1626.00,21-05-2018,east
1572.00,21-05-2018,west
1572.00,22-05-2018,north
1569.00,22-05-2018,south
1581.00,22-05-2018,east
1521.00,22-05-2018,west
1641.00,23-05-2018,north
1692.00,23-05-2018,south
1713.00,23-05-2018,east
1563.00,23-05-2018,west
1524.00,24-05-2018,north
1533.00,24-05-2018,south
1695.00,24-05-2018,east
1533.00,24-05-2018,west
1599.00,25-05-2018,north
1665.00,25-05-2018,south
1713.00,25-05-2018,east
1644.00,25-05-2018,west
1776.00,26-05-2018,north
1530.00,26-05-2018,south
1650.00,26-05-2018,east
1512.00,26-05-2018,west
1629.00,27-05-2018,north
1707.00,27-05-2018,south
1521.00,27-05-2018,east
1761.00,27-05-2018,west
1755.00,28-05-2018,north
1659.00,28-05-2018,south
1800.00,28-05-2018,east
1539.00,28-05-2018,west
1713.00,29-05-2018,north
1752.00,29-05-2018,south
1629.00,29-05-2018,east
1635.00,29-05-2018,west
1674.00,30-05-2018,north
1701.00,30-05-2018,south
1614.00,30-05-2018,east
1794.00,30-05-2018,west
1725.00,31-05-2018,north
1659.00,31-05-2018,south
1536.00,31-05-2018,east
1620.00,31-05-2018,west
1794.00,01-06-2018,north
1623.00,01-06-2018,south
1665.00,01-06-2018,east
1671.00,01-06-2018,west
1752.00,02-06-2018,north
1707.00,02-06-2018,south
1797.00,02-06-2018,east
1668.00,02-06-2018,west
1596.00,03-06-2018,north
1503.00,03-06-2018,south
1578.00,03-06-2018,east
1680.00,03-06-2018,west
1608.00,04-06-2018,north
1683.00,04-06-2018,south
1572.00,04-06-2018,east
1656.00,04-06-2018,west
1713.00,05-06-2018,north
1698.00,05-06-2018,south
1557.00,05-06-2018,east
1782.00,05-06-2018,west
1695.00,06-06-2018,north
1680.00,06-06-2018,south
1761.00,06-06-2018,east
1659.00,06-06-2018,west
1518.00,07-06-2018,north
1572.00,07-06-2018,south
1785.00,07-06-2018,east
1557.00,07-06-2018,west
1719.00,08-06-2018,north
1677.00,08-06-2018,south
1695.00,08-06-2018,east
1602.00,08-06-2018,west
1782.00,09-06-2018,north
1773.00,09-06-2018,south
1656.00,09-06-2018,east
1665.00,09-06-2018,west
1578.00,10-06-2018,north
1641.00,10-06-2018,south
1737.00,10-06-2018,east
1557.00,10-06-2018,west
1788.00,11-06-2018,north
1677.00,11-06-2018,south
1698.00,11-06-2018,east
1728.00,11-06-2018,west
1776.00,12-06-2018,north
1551.00,12-06-2018,south
1548.00,12-06-2018,east
1542.00,12-06-2018,west
1683.00,13-06-2018,north
1683.00,13-06-2018,south
1572.00,13-06-2018,east
1683.00,13-06-2018,west
1761.00,14-06-2018,north
1668.00,14-06-2018,south
1599.00,14-06-2018,east
1593.00,14-06-2018,west
1623.00,15-06-2018,north
1737.00,15-06-2018,south
1593.00,15-06-2018,east
1788.00,15-06-2018,west
1659.00,16-06-2018,north
1641.00,16-06-2018,south
1575.00,16-06-2018,east
1611.00,16-06-2018,west
1599.00,17-06-2018,north
1530.00,17-06-2018,south
1608.00,17-06-2018,east
1626.00,17-06-2018,west
1530.00,18-06-2018,north
1707.00,18-06-2018,south
1611.00,18-06-2018,east
1635.00,18-06-2018,west
1593.00,19-06-2018,north
1749.00,19-06-2018,south
1623.00,19-06-2018,east
1608.00,19-06-2018,west
1665.00,20-06-2018,north
1659.00,20-06-2018,south
1734.00,20-06-2018,east
1557.00,20-06-2018,west
1797.00,21-06-2018,north
1587.00,21-06-2018,south
1557.00,21-06-2018,east
1542.00,21-06-2018,west
1743.00,22-06-2018,north
1797.00,22-06-2018,south
1686.00,22-06-2018,east
1683.00,22-06-2018,west
1791.00,23-06-2018,north
1554.00,23-06-2018,south
1695.00,23-06-2018,east
1566.00,23-06-2018,west
1563.00,24-06-2018,north
1623.00,24-06-2018,south
1530.00,24-06-2018,east
1662.00,24-06-2018,west
1650.00,25-06-2018,north
1602.00,25-06-2018,south
1548.00,25-06-2018,east
1623.00,25-06-2018,west
1728.00,26-06-2018,north
1533.00,26-06-2018,south
1503.00,26-06-2018,east
1629.00,26-06-2018,west
1581.00,27-06-2018,north
1659.00,27-06-2018,south
1707.00,27-06-2018,east
1665.00,27-06-2018,west
1563.00,28-06-2018,north
1638.00,28-06-2018,south
1692.00,28-06-2018,east
1503.00,28-06-2018,west
1686.00,29-06-2018,north
1764.00,29-06-2018,south
1629.00,29-06-2018,east
1779.00,29-06-2018,west
1554.00,30-06-2018,north
1653.00,30-06-2018,south
1515.00,30-06-2018,east
1557.00,30-06-2018,west
1746.00,01-07-2018,north
1671.00,01-07-2018,south
1716.00,01-07-2018,east
1554.00,01-07-2018,west
1695.00,02-07-2018,north
1611.00,02-07-2018,south
1680.00,02-07-2018,east
1671.00,02-07-2018,west
1644.00,03-07-2018,north
1638.00,03-07-2018,south
1623.00,03-07-2018,east
1515.00,03-07-2018,west
1743.00,04-07-2018,north
1587.00,04-07-2018,south
1764.00,04-07-2018,east
1572.00,04-07-2018,west
1752.00,05-07-2018,north
1647.00,05-07-2018,south
1575.00,05-07-2018,east
1500.00,05-07-2018,west
1743.00,06-07-2018,north
1566.00,06-07-2018,south
1758.00,06-07-2018,east
1689.00,06-07-2018,west
1776.00,07-07-2018,north
1770.00,07-07-2018,south
1695.00,07-07-2018,east
1566.00,07-07-2018,west
1623.00,08-07-2018,north
1776.00,08-07-2018,south
1515.00,08-07-2018,east
1761.00,08-07-2018,west
1623.00,09-07-2018,north
1788.00,09-07-2018,south
1542.00,09-07-2018,east
1515.00,09-07-2018,west
1794.00,10-07-2018,north
1794.00,10-07-2018,south
1755.00,10-07-2018,east
1761.00,10-07-2018,west
1605.00,11-07-2018,north
1569.00,11-07-2018,south
1638.00,11-07-2018,east
1677.00,11-07-2018,west
1593.00,12-07-2018,north
1500.00,12-07-2018,south
1539.00,12-07-2018,east
1719.00,12-07-2018,west
1749.00,13-07-2018,north
1596.00,13-07-2018,south
1680.00,13-07-2018,east
1509.00,13-07-2018,west
1500.00,14-07-2018,north
1653.00,14-07-2018,south
1620.00,14-07-2018,east
1575.00,14-07-2018,west
1737.00,15-07-2018,north
1713.00,15-07-2018,south
1698.00,15-07-2018,east
1539.00,15-07-2018,west
1773.00,16-07-2018,north
1707.00,16-07-2018,south
1554.00,16-07-2018,east
1515.00,16-07-2018,west
1551.00,17-07-2018,north
1566.00,17-07-2018,south
1788.00,17-07-2018,east
1614.00,17-07-2018,west
1704.00,18-07-2018,north
1656.00,18-07-2018,south
1530.00,18-07-2018,east
1659.00,18-07-2018,west
1620.00,19-07-2018,north
1725.00,19-07-2018,south
1704.00,19-07-2018,east
1527.00,19-07-2018,west
1731.00,20-07-2018,north
1761.00,20-07-2018,south
1644.00,20-07-2018,east
1653.00,20-07-2018,west
1725.00,21-07-2018,north
1698.00,21-07-2018,south
1662.00,21-07-2018,east
1656.00,21-07-2018,west
1608.00,22-07-2018,north
1773.00,22-07-2018,south
1659.00,22-07-2018,east
1647.00,22-07-2018,west
1638.00,23-07-2018,north
1623.00,23-07-2018,south
1719.00,23-07-2018,east
1629.00,23-07-2018,west
1701.00,24-07-2018,north
1725.00,24-07-2018,south
1752.00,24-07-2018,east
1557.00,24-07-2018,west
1500.00,25-07-2018,north
1707.00,25-07-2018,south
1533.00,25-07-2018,east
1737.00,25-07-2018,west
1605.00,26-07-2018,north
1767.00,26-07-2018,south
1551.00,26-07-2018,east
1521.00,26-07-2018,west
1659.00,27-07-2018,north
1611.00,27-07-2018,south
1695.00,27-07-2018,east
1632.00,27-07-2018,west
1515.00,28-07-2018,north
1584.00,28-07-2018,south
1596.00,28-07-2018,east
1743.00,28-07-2018,west
1791.00,29-07-2018,north
1599.00,29-07-2018,south
1749.00,29-07-2018,east
1755.00,29-07-2018,west
1755.00,30-07-2018,north
1662.00,30-07-2018,south
1509.00,30-07-2018,east
1776.00,30-07-2018,west
1695.00,31-07-2018,north
1707.00,31-07-2018,south
1548.00,31-07-2018,east
1578.00,31-07-2018,west
1563.00,01-08-2018,north
1674.00,01-08-2018,south
1554.00,01-08-2018,east
1665.00,01-08-2018,west
1527.00,02-08-2018,north
1617.00,02-08-2018,south
1548.00,02-08-2018,east
1671.00,02-08-2018,west
1668.00,03-08-2018,north
1671.00,03-08-2018,south
1719.00,03-08-2018,east
1668.00,03-08-2018,west
1536.00,04-08-2018,north
1734.00,04-08-2018,south
1743.00,04-08-2018,east
1776.00,04-08-2018,west
1650.00,05-08-2018,north
1599.00,05-08-2018,south
1614.00,05-08-2018,east
1773.00,05-08-2018,west
1611.00,06-08-2018,north
1605.00,06-08-2018,south
1554.00,06-08-2018,east
1788.00,06-08-2018,west
1566.00,07-08-2018,north
1560.00,07-08-2018,south
1551.00,07-08-2018,east
1626.00,07-08-2018,west
1665.00,08-08-2018,north
1539.00,08-08-2018,south
1506.00,08-08-2018,east
1617.00,08-08-2018,west
1797.00,09-08-2018,north
1794.00,09-08-2018,south
1620.00,09-08-2018,east
1683.00,09-08-2018,west
1620.00,10-08-2018,north
1554.00,10-08-2018,south
1701.00,10-08-2018,east
1785.00,10-08-2018,west
1689.00,11-08-2018,north
1650.00,11-08-2018,south
1533.00,11-08-2018,east
1587.00,11-08-2018,west
1509.00,12-08-2018,north
1743.00,12-08-2018,south
1719.00,12-08-2018,east
1743.00,12-08-2018,west
1701.00,13-08-2018,north
1629.00,13-08-2018,south
1638.00,13-08-2018,east
1611.00,13-08-2018,west
1623.00,14-08-2018,north
1635.00,14-08-2018,south
1716.00,14-08-2018,east
1707.00,14-08-2018,west
1602.00,15-08-2018,north
1542.00,15-08-2018,south
1800.00,15-08-2018,east
1734.00,15-08-2018,west
1788.00,16-08-2018,north
1614.00,16-08-2018,south
1743.00,16-08-2018,east
1770.00,16-08-2018,west
1776.00,17-08-2018,north
1713.00,17-08-2018,south
1623.00,17-08-2018,east
1752.00,17-08-2018,west
1527.00,18-08-2018,north
1776.00,18-08-2018,south
1689.00,18-08-2018,east
1713.00,18-08-2018,west
1509.00,19-08-2018,north
1575.00,19-08-2018,south
1701.00,19-08-2018,east
1575.00,19-08-2018,west
1581.00,20-08-2018,north
1779.00,20-08-2018,south
1662.00,20-08-2018,east
1506.00,20-08-2018,west
1794.00,21-08-2018,north
1659.00,21-08-2018,south
1644.00,21-08-2018,east
1707.00,21-08-2018,west
1704.00,22-08-2018,north
1500.00,22-08-2018,south
1539.00,22-08-2018,east
1800.00,22-08-2018,west
1557.00,23-08-2018,north
1554.00,23-08-2018,south
1788.00,23-08-2018,east
1563.00,23-08-2018,west
1548.00,24-08-2018,north
1560.00,24-08-2018,south
1734.00,24-08-2018,east
1644.00,24-08-2018,west
1629.00,25-08-2018,north
1677.00,25-08-2018,south
1764.00,25-08-2018,east
1515.00,25-08-2018,west
1542.00,26-08-2018,north
1545.00,26-08-2018,south
1668.00,26-08-2018,east
1584.00,26-08-2018,west
1605.00,27-08-2018,north
1740.00,27-08-2018,south
1602.00,27-08-2018,east
1509.00,27-08-2018,west
1566.00,28-08-2018,north
1680.00,28-08-2018,south
1656.00,28-08-2018,east
1722.00,28-08-2018,west
1662.00,29-08-2018,north
1794.00,29-08-2018,south
1734.00,29-08-2018,east
1647.00,29-08-2018,west
1635.00,30-08-2018,north
1743.00,30-08-2018,south
1665.00,30-08-2018,east
1770.00,30-08-2018,west
1749.00,31-08-2018,north
1695.00,31-08-2018,south
1644.00,31-08-2018,east
1602.00,31-08-2018,west
1560.00,01-09-2018,north
1500.00,01-09-2018,south
1719.00,01-09-2018,east
1557.00,01-09-2018,west
1527.00,02-09-2018,north
1653.00,02-09-2018,south
1506.00,02-09-2018,east
1575.00,02-09-2018,west
1749.00,03-09-2018,north
1770.00,03-09-2018,south
1674.00,03-09-2018,east
1650.00,03-09-2018,west
1794.00,04-09-2018,north
1509.00,04-09-2018,south
1785.00,04-09-2018,east
1539.00,04-09-2018,west
1731.00,05-09-2018,north
1617.00,05-09-2018,south
1656.00,05-09-2018,east
1599.00,05-09-2018,west
1713.00,06-09-2018,north
1506.00,06-09-2018,south
1758.00,06-09-2018,east
1650.00,06-09-2018,west
1791.00,07-09-2018,north
1623.00,07-09-2018,south
1776.00,07-09-2018,east
1653.00,07-09-2018,west
1659.00,08-09-2018,north
1755.00,08-09-2018,south
1533.00,08-09-2018,east
1557.00,08-09-2018,west
1527.00,09-09-2018,north
1614.00,09-09-2018,south
1638.00,09-09-2018,east
1704.00,09-09-2018,west
1650.00,10-09-2018,north
1656.00,10-09-2018,south
1782.00,10-09-2018,east
1527.00,10-09-2018,west
1578.00,11-09-2018,north
1767.00,11-09-2018,south
1749.00,11-09-2018,east
1524.00,11-09-2018,west
1719.00,12-09-2018,north
1695.00,12-09-2018,south
1740.00,12-09-2018,east
1533.00,12-09-2018,west
1653.00,13-09-2018,north
1560.00,13-09-2018,south
1677.00,13-09-2018,east
1539.00,13-09-2018,west
1713.00,14-09-2018,north
1554.00,14-09-2018,south
1743.00,14-09-2018,east
1701.00,14-09-2018,west
1587.00,15-09-2018,north
1512.00,15-09-2018,south
1698.00,15-09-2018,east
1746.00,15-09-2018,west
1554.00,16-09-2018,north
1554.00,16-09-2018,south
1782.00,16-09-2018,east
1782.00,16-09-2018,west
1764.00,17-09-2018,north
1620.00,17-09-2018,south
1545.00,17-09-2018,east
1722.00,17-09-2018,west
1503.00,18-09-2018,north
1530.00,18-09-2018,south
1737.00,18-09-2018,east
1692.00,18-09-2018,west
1542.00,19-09-2018,north
1758.00,19-09-2018,south
1779.00,19-09-2018,east
1593.00,19-09-2018,west
1686.00,20-09-2018,north
1749.00,20-09-2018,south
1662.00,20-09-2018,east
1569.00,20-09-2018,west
1590.00,21-09-2018,north
1665.00,21-09-2018,south
1716.00,21-09-2018,east
1704.00,21-09-2018,west
1632.00,22-09-2018,north
1581.00,22-09-2018,south
1758.00,22-09-2018,east
1641.00,22-09-2018,west
1731.00,23-09-2018,north
1677.00,23-09-2018,south
1728.00,23-09-2018,east
1755.00,23-09-2018,west
1611.00,24-09-2018,north
1593.00,24-09-2018,south
1797.00,24-09-2018,east
1560.00,24-09-2018,west
1530.00,25-09-2018,north
1770.00,25-09-2018,south
1611.00,25-09-2018,east
1701.00,25-09-2018,west
1617.00,26-09-2018,north
1515.00,26-09-2018,south
1713.00,26-09-2018,east
1500.00,26-09-2018,west
1632.00,27-09-2018,north
1713.00,27-09-2018,south
1743.00,27-09-2018,east
1587.00,27-09-2018,west
1749.00,28-09-2018,north
1533.00,28-09-2018,south
1653.00,28-09-2018,east
1512.00,28-09-2018,west
1518.00,29-09-2018,north
1623.00,29-09-2018,south
1701.00,29-09-2018,east
1596.00,29-09-2018,west
1746.00,30-09-2018,north
1536.00,30-09-2018,south
1659.00,30-09-2018,east
1524.00,30-09-2018,west
1782.00,01-10-2018,north
1632.00,01-10-2018,south
1755.00,01-10-2018,east
1650.00,01-10-2018,west
1680.00,02-10-2018,north
1701.00,02-10-2018,south
1800.00,02-10-2018,east
1740.00,02-10-2018,west
1563.00,03-10-2018,north
1788.00,03-10-2018,south
1536.00,03-10-2018,east
1764.00,03-10-2018,west
1512.00,04-10-2018,north
1560.00,04-10-2018,south
1626.00,04-10-2018,east
1797.00,04-10-2018,west
1779.00,05-10-2018,north
1683.00,05-10-2018,south
1713.00,05-10-2018,east
1794.00,05-10-2018,west
1584.00,06-10-2018,north
1647.00,06-10-2018,south
1596.00,06-10-2018,east
1515.00,06-10-2018,west
1533.00,07-10-2018,north
1608.00,07-10-2018,south
1794.00,07-10-2018,east
1578.00,07-10-2018,west
1701.00,08-10-2018,north
1617.00,08-10-2018,south
1779.00,08-10-2018,east
1785.00,08-10-2018,west
1680.00,09-10-2018,north
1590.00,09-10-2018,south
1551.00,09-10-2018,east
1587.00,09-10-2018,west
1749.00,10-10-2018,north
1701.00,10-10-2018,south
1599.00,10-10-2018,east
1506.00,10-10-2018,west
1596.00,11-10-2018,north
1800.00,11-10-2018,south
1749.00,11-10-2018,east
1674.00,11-10-2018,west
1782.00,12-10-2018,north
1647.00,12-10-2018,south
1542.00,12-10-2018,east
1656.00,12-10-2018,west
1581.00,13-10-2018,north
1713.00,13-10-2018,south
